"settimana","giorno","pranzo","spuntino","merenda"
"1","Lunedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Frutta di stagione","Frutta di stagione"
"1","Martedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Focaccina (monoporzione)","Barretta multicereale"
"1","Mercoledì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Crostatina","focaccina"
"1","Giovedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Yogurt","Yogurt"
"1","Venerdì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Succo + biscotti","Merenda dolce"
"2","Lunedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Frutta di stagione","Frutta di stagione"
"2","Martedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Yogurt","Focaccina (monoporzione)"
"2","Mercoledì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Budino","Crostatina"
"2","Giovedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Barretta di cereali","Yogurt"
"2","Venerdì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Schiacciatina","Succo + biscotti"
"3","Lunedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Frutta di stagione","Frutta di stagione"
"3","Martedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Tarallini","Yogurt"
"3","Mercoledì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Dolce confezionato","Budino"
"3","Giovedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Yogurt","Barretta di cereali"
"3","Venerdì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Barretta multicereale","Schiacciatina"
"4","Lunedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Frutta di stagione","Frutta di stagione"
"4","Martedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Barretta multicereale","Tarallini"
"4","Mercoledì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","focaccina","Dolce confezionato"
"4","Giovedì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Yogurt","Yogurt"
"4","Venerdì","Pappa con formaggio
200 cc brodo vegetale con verdure passate + 1 cucchiaio di legumi
30 gr formaggio 1 cucchiaino olio d'oliva extravergine
20 gr riso","Merenda dolce","Barretta multicereale"
