"settimana","giorno","primo","secondo","contorno","frutta","spuntino"
"1","Lunedì","Pasta al Pesto","Mozzarella","Zucchine al forno","","Frutta di stagione"
"1","Martedì","Pasta (caserecce) al pomodoro","Insalatona (uova sode, pomodoro, cetrioli)","","","Gelato"
"1","Mercoledì","Pasta (conchiglie) olio e grana","Cosce di pollo agli aromi","Carote alla julienne","","Fette biscottate e marmellata"
"1","Giovedì","Cous cous con mozzarella pomodorini e olive","Farinata di ceci","Peperoni","","Yogurt"
"1","Venerdì","Risotto con crema di zucchine e salmone","Pesce in umido","Pomodori in insalata","","Frutta di stagione"
"2","Lunedì","Pasta (caserecce) olio e grana","Milaneei di pollo","Carote alla juilienne","","Frutta di stagione"
"2","Martedì","Farro Primavera (pomodorini, mais e mozzarella)","Polpettone di legumi","Pomodori in insalata","","Fette biscottate e miele"
"2","Mercoledì","Pasta (sedanini) al forno robiola pesto e besciamella","","Zucchine con grana e aromi","","yogurt"
"2","Giovedì","Risotto alla puttanesca (salsa di pomodoro, capperi e olive)","Pesce al forno","Melanzane a funghetto","","Gelato"
"2","Venerdì","Pasta (mezzi rigatoni) con zucchine e speck","Uova","Insalata mista","","Frutta di stagione"
"3","Lunedì","Risotto allo zafferano","Mozzarella","Fagiolini","Frutta di stagione",""
"3","Martedì","Gnocchi al pesto","Frittata con spinaci","Carote julienne","Frutta secca",""
"3","Mercoledì","Pasta (conchiglie) olio e grana","Polpette di fagioli","Insalata verde","Fette biscottate e marmellata",""
"3","Giovedì","Risotto con crema di zucchine","Fusi di pollo agli aromi","pomodori","yogurt",""
"3","Venerdì","Pasta(caserecce) al pomodoro","Cotoletta di pesce al forno","Melanzane","Frutta di stagione",""
"4","Lunedì","Orzo/ farro al pesto","Mozzarella","Insalata di carote","Frutta di stagione",""
"4","Martedì","Pasta (sedanini) alla norma","Petto di pollo limone e rosmarino","Peperoni","gelato",""
"4","Mercoledì","Risotto alla parmigiana","Farinata di ceci","Pomodori in insalata","Fette biscottate al miele",""
"4","Giovedì","Pizza margherita","Insalata mista con scaglie di grana e noci","Yogurt",""
"4","Venerdì","Pasta (caserecce) al pomodoro","Insalata di sgombro olive mais e pomodorini","Frutta di stagione",""
