settimana,giorno,pranzo,spuntino,merenda
1,Lunedì,"Pasta ai profumi d'estate
Frittata o uova strapazzate
Fagiolini all'olio
Frutta fresca Pane",,
1,Martedì,"Insalata di riso con zucchine pomodorini e cubetti di formaggio
Frutta fresca Pane",,
1,Mercoledì,"Pasta al pomodoro e piselli
Carote
Frutta fresca Pane",,
1,Giovedì,"Minestra di orzo al pesto di verdure
Pollo al limone
Purè di patate
Frutta fresca Pane",,
1,Venerdì,"Pasta integrale con crema di cavolfiore
Pesce al forno croccante
Spinaci all'olio
Frutta fresca Pane",,
2,Lunedì,"Pasta al pomodoro ricotta o altro simile
Zucchine trifolate
Frutta fresca Pane",,
2,Martedì,"Farro con pesto di bieta
Tacchino al forno
Pomodori e cetrioli
Frutta fresca Pane",,
2,Mercoledì,"Pasta e legumi
Spinaci all'olio
Frutta fresca Pane",,
2,Giovedì,"Risotto con zafferano
Pesce al forno croccante
Carote
Frutta fresca Pane",,
2,Venerdì,"Vellutata di patate e carote con crostini
Frittata
Insalata di finocchi
Frutta fresca Pane",,
3,Lunedì,"Lasagna estiva con ricotta e spinaci
Insalata di fagiolini
Frutta fresca Pane",,
3,Martedì,"Orzo al pesto di verdure
Polpettine di carne bianca e carote
Frutta fresca Pane",,
3,Mercoledì,"Pasta con crema di peperoni
Pesce al forno croccante
Insalata di finocchi
Frutta fresca Pane",,
3,Giovedì,"Insalata di riso con cannellini e pomodorini
Frutta fresca Pane",,
3,Venerdì,"Pasta al ragù di pesce
Zucchine trifolate
Frutta fresca Pane",,
4,Lunedì,"Pasta al pesto
Frittata o uova strapazzate
Finocchi
Frutta fresca Pane",,
4,Martedì,"Farro con legumi
Pomodorini
Frutta fresca Pane",,
4,Mercoledì,"Pasta integrale pomodoro e basilico
Formaggio
Fagiolini
Frutta fresca Pane",,
4,Giovedì,"Risotto allo zafferano
Pesce al forno croccante
Carote
Frutta fresca Pane",,
4,Venerdì,"Pasta al ragù di carne
Spinaci gratinati
Frutta fresca Pane",,
