"data","primo","secondo","contorno","frutta","altro"
"13/01/2025","Risotto alla zucca","Fesa di tacchino al forno","Carote all'olio","Mela","Pane"
"14/01/2025","Pasta e fagioli","Frittata al forno","Insalata verde","Pera","Grissini"
"15/01/2025","Pasta integrale al pomodoro","Platessa dorata","Spinaci all'olio","Banana","Pane"
"16/01/2025","Gnocchi al pesto","Prosciutto cotto","Fagiolini al vapore","Arancia","Crackers"
"17/01/2025","Minestrone con riso","Bocconcini di pollo","Purè di patate","Kiwi","Pane"
"20/01/2025","Pasta al ragù","Merluzzo al forno","Zucchine trifolate","Mela","Pane"
"21/01/2025","Riso ai funghi","Uova sode","Insalata mista","Pera","Grissini"
"22/01/2025","Pasta al pomodoro e basilico","Arrosto di vitello","Carote baby","Banana","Pane"
"23/01/2025","Passato di verdure con crostini","Formaggio stagionato","Patate al forno","Mandarini","Pane"
"24/01/2025","Farfalle burro e salvia","Petto di pollo ai ferri","Broccoli all'olio","Mela","Crackers"
"27/01/2025","Pasta all'ortolana","Filetto di nasello","Finocchi gratinati","Pera","Pane"
"28/01/2025","Orzo e legumi","Fesa di tacchino all'arancia","Insalata verde","Banana","Grissini"
"29/01/2025","Risotto alla parmigiana","Polpette al sugo","Piselli al prezzemolo","Arancia","Pane"
"30/01/2025","Pasta e ceci","Frittata con verdure","Carote all'olio","Kiwi","Pane"
"31/01/2025","Pizza margherita","Mozzarella","Insalata mista","Mela","Pane"
"03/02/2025","Pasta al pomodoro","Arrosto di tacchino","Fagiolini al vapore","Pera","Pane"
"04/02/2025","Crema di zucca con crostini","Platessa al forno","Spinaci all'olio","Banana","Grissini"
"05/02/2025","Pasta integrale al ragù","Prosciutto cotto","Purè di patate","Mandarini","Pane"
"06/02/2025","Risotto ai funghi","Bocconcini di pollo","Zucchine trifolate","Mela","Crackers"
"07/02/2025","Minestra di verdure con pastina","Formaggio fresco","Carote baby","Pera","Pane"
