"settimana","giorno","primo","secondo","contorno","frutta","spuntino"
"1","Venerdì","Pasta integrale al pomodoro","Hamburger vegetariano","Broccoli all’olio","Frutta di stagione  ","Succo + biscotti"
"1","Giovedì","Pasta olio e grana","Frittata","Carote baby al prezzemolo","Frutta di stagione  ","Yogurt"
"1","Mercoledì","Pasta integrale al
pomodoro","Piselli al prezzemolo","Spinaci all’olio","Frutta di stagione  ","Crostatina"
"1","Martedì","Pasta e fagioli","Seitan al forno","Cavolfiori gratinati","Frutta di stagione  ","Focaccina
(monoporzione)"
"1","Lunedì","Risotto ai funghi","Ceci agli aromi","Insalata verde","Frutta di stagione  ","Frutta di stagione"
"2","Venerdì","Pasta olio e grana","Lenticchie in umido","Finocchi in insalata","Frutta di stagione  ","Schiacciatina"
"2","Giovedì","Passato di verdure con crostini","Seitan affumicato","Patate al forno","Frutta di stagione  ","Barretta di cereali"
"2","Mercoledì","Pasta integrale al pomodoro","Frittata","Cavolfiori gratinati","Frutta di stagione  ","Budino"
"2","Martedì","Orzotto con piselli","Hamburger vegetale","Insalata verde","Frutta di stagione  ","Yogurt"
"2","Lunedì","Pasta pomodoro","Toma piemontese","Fagiolini all’olio","Frutta di stagione  ","Frutta di stagione"
"3","Venerdì","Gnocchi al pomodoro","Uova all’occhio di bue","Carote al prezzemolo","Frutta di stagione  ","Barretta multicereale"
"3","Giovedì","Crema di verdure con riso","Spezzatini di seitan con patate","Biete saltate","Frutta di stagione  ","Yogurt"
"3","Mercoledì","Pasta al pomodoro","Piselli prezzemolati","Insalata verde","Frutta di stagione  ","Dolce confezionato"
"3","Martedì","Pasta integrale al ragù di verdure","Hamburger vegetale","Broccoli all’olio","Frutta di stagione  ","Tarallini"
"3","Lunedì","Farro con lenticchie","Formaggio piemontese","Patate al forno","Frutta di stagione  ","Frutta di stagione"
"4","Venerdì","Risotto allo zafferano","Hamburger vegetale","Broccoli all’olio","Frutta di stagione  ","Merenda dolce"
"4","Giovedì","Pizza margherita","½ porzione di Parmigiano Reggiano","Insalata","Frutta di stagione  ","Yogurt"
"4","Mercoledì","Pasta olio e grana","Ceci al curry","Spinaci all’olio","Frutta di stagione  ","focaccina"
"4","Martedì","Pasta integrale al pesto","Frittata con spinaci","Cavolfiori gratinati","Frutta di stagione  ","Barretta multicereale"
"4","Lunedì","Crema di ceci e porri con crostini","Seitan affumicato","Patate Al forno","Frutta di stagione  ","Frutta di stagione"
