"settimana","giorno","primo","secondo","contorno","frutta","spuntino"
"1","Lunedì","Pasta all’olio","Prosciutto","Zucchine al forno","-","Frutta di stagione"
"2","Lunedì","Pasta (caserecce) olio","Prosciutto","Melanzane al funghetto","-","Frutta di stagione"
"3","Lunedì","Risotto allo zafferano","Prosciutto","Zucchine","-","Frutta di stagione"
"4","Lunedì","Lenticchie in umido","Tonno","Insalata di carote","-","Frutta di stagione"
"1","Martedì","Pasta (caserecce) al pomodoro","Insalatona (tonno, pomodoro, cetrioli)","-","-","Gelato valsoia"
"2","Martedì","Farro Primavera (pomodorini, mais e condiriso)","Polpettone no lattosio","Pomodori in insalata","-","Fette biscottate e miele"
"3","Martedì","Gnocchi al pomodoro","Polpettone di legumi","Fagiolini in insalata","-","Frutta secca"
"4","Martedì","Pasta (sedanini) alla norma","Petto di pollo limone e rosmarino","Zucchine","-","Gelato valsoia"
"1","Mercoledì","Pasta (conchiglie) olio","Arrosto di lonza con salsa","Carote alla julienne","-","Fette biscottate e marmellata"
"2","Mercoledì","Pasta (sedanini) al forno","-","Insalata mista","-","yogurt"
"2","Giovedì","Risotto alla puttanesca (salsa di pomodoro, capperi e olive)","Pesce al forno","Carote alla Julienne","-","Gelato valsoia"
"3","Mercoledì","Pasta (conchiglie) olio","Frittata di spinaci","Pomodori","-","Fette biscottate e marmellata"
"3","Giovedì","Risotto con crema di zucchine","Fusi di pollo agli aromi","Insalata verde","-","Yogurt s.l."
"4","Mercoledì","Risotto all’olio","Bresaola","Pomodori in insalata","-","Fette biscottate al miele"
"4","Giovedì","Pizza margherita s.l.","Insalata mista","-","-","Yogurt s.l."
"1","Giovedì","Cous cous con mais pomodorini e olive","Cosce di pollo agli aromi","Peperoni","-","Yogurt s.l"
"1","Venerdì","Risotto con crema di zucchine e salmone","Pesce in umido","Pomodori in insalata","-","Frutta di stagione"
"2","Venerdì","Pasta (mezzi rigatoni) con asparagi e gamberetti","Tortino di verdure","Zucchine","-","Frutta di stagione"
"3","Venerdì","Pasta(caserecce) al pomodoro","Cotoletta di pesce al forno","Carote alla Julienne","-","Frutta di stagione"
"4","Venerdì","Pasta (caserecce) pomodoro","Insalata di sgombro olive mais e pomodorini","-","-","Frutta di stagione"
