"giorno","data","primo","secondo","contorno","frutta","altro"
"Lunedì","15/09/2025","pasta alla pomarola toscana","Edamer","insalata mista (lattuga, carote, cetrioli, pomodori)","frutta","pane bianco"
"martedì","16/09/2025","risotto con le zucchine","frittata","fagiolini all'olio","frutta","pane bianco"
"mercoledì","17/09/2025","pasta al pesto genovese","tacchino al forno (bocconcini)","carote filangè","frutta","pane integrale"
"giovedì","18/09/2025","risotto al pomodoro","bastoncini/sformatino di merluzzo panato","zucchine trifolate","frutta","pane bianco"
"venerdì","19/09/2025","pasta olio e parmigiano","insalata di ceci","pomodori e basilico","frutta","pane bianco"
"Lunedì","22/09/2025","ravioli ricotta e spinaci all'olio","frittata con le patate","finocchi bastoncino","frutta","pane bianco"
"martedì","23/09/2025","pasta al ragù con ceci","mozzarella","pomodori e basilico","frutta","pane bianco"
"mercoledì","24/09/2025","pasta con ragù di verdure di babbo Fabio","maiale (arista) al forno","carote filangè","frutta","pane bianco"
"giovedì","25/09/2025","cous cous con verdure","pollo panato (bocconcini)","patate lesse","frutta","pane integrale"
"venerdì","26/09/2025","riso all'olio","polpette di merluzzo al pomodoro","pomodori e cetrioli","frutta","pane integrale"
"Lunedì","29/09/2025","riso all'olio","uova strapazzate con zucchine","broccolo gratinato","frutta","pane bianco"
"martedì","30/09/2025","pizza margherita","mortadella IGP","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco porzione ridotta"
"mercoledì","01/10/2025","risotto allo zafferano","medaglioni di merluzzo e patate al limone","zucchine trifolate","frutta","pane integrale"
"giovedì","02/10/2025","pasta pomodoro e basilico","stracchino","pomodori e cetrioli","frutta","pane bianco"
"venerdì","03/10/2025","vellutata di carote con pastina","spezzatino di vitellone al pomodoro","insalata verde","cioccolato 50%","pane bianco"
"Lunedì","06/10/2025","pasta burro e parmigiano","frittata di zucchine","carote filangè","frutta","pane integrale"
"martedì","07/10/2025","risotto al pomodoro","tortino di filetti di merluzzo in crosta di patate","pomodori e cetrioli","frutta","pane bianco"
"mercoledì","08/10/2025","spaghetti alla gricia","caciotta","bieta all'olio","frutta","pane bianco"
"giovedì","09/10/2025","cous cous con verdure","pollo panato (straccetti)","patate lesse","frutta","pane bianco"
"venerdì","10/10/2025","pasta al sugo finto","sformato di ceci e carote","insalata verde","frutta","pane integrale"
"Lunedì","13/10/2025","pasta al ragù di lenticchie","stracchino","spinaci al burro","frutta","pane integrale"
"martedì","14/10/2025","pasta al pesto genovese","pollo alla cacciatora (bocconcini)","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco"
"mercoledì","15/10/2025","risotto con zucca gialla","bastoncini/sformatino di merluzzo panato","finocchi stufati","frutta","pane integrale"
"giovedì","16/10/2025","spaghetti alla pomarola toscana","frittata con le patate","carote filangè","frutta","pane integrale"
"venerdì","17/10/2025","crema autunnale con riso","maiale alla milanese (straccetti)","fagiolini all'olio","biscotto di frolla","pane integrale"
